mot,term_frequency,document_frequency
the,72,8
of,44,5
to,28,8
and,27,8
a,25,5
football,20,5
in,18,6
we,16,4
is,14,8
this,13,6
for,12,4
transfer,11,3
that,11,7
with,9,4
on,7,3
or,6,5
be,6,5
injury,6,2
as,5,3
training,5,1
injuries,5,1
most,5,4
an,4,3
your,4,2
can,4,1
also,4,3
mre,4,1
used,4,2
using,4,1
mouthguards,4,1
results,4,4
air,4,1
resistance,4,1
between,4,4
network,4,2
interesting,3,3
footballer,3,1
incidence,3,2
theory,3,1
data,3,2
common,3,2
where,3,2
week,3,3
was,3,1
v,3,1
made,3,3
conducted,3,1
recordings,3,1
professional,3,1
uefa,3,1
predicting,3,1
were,3,1
found,3,2
sessions,3,1
place,3,3
during,3,1
gps,3,1
order,3,2
not,3,3
brain,3,1
velocity,3,2
instrumented,3,1
impact,3,1
has,3,3
understanding,3,2
here,3,3
match,3,3
discussion,3,3
whether,3,3
weekly,2,2
thread,2,2
youre,2,2
chat,2,2
about,2,2
latest,2,2
rumors,2,2
brazil,2,1
how,2,2
predictions,2,2
higher,2,2
selection,2,1
team,2,2
strain,2,1
true,2,2
feature,2,1
weights,2,1
link,2,1
learning,2,1
machine,2,1
different,2,2
investigation,2,2
thoughts,2,2
hours,2,1
records,2,2
angular,2,1
further,2,2
peak,2,1
measurements,2,2
various,2,1
accurate,2,2
exposure,2,1
spherical,2,1
overtraining,2,1
predict,2,1
part,2,2
injured,2,1
players,2,1
might,2,1
fatigue,2,1
share,2,2
free,2,2
from,2,2
model,2,2
based,2,2
feel,2,2
footballrelated,2,2
accuracy,2,1
by,2,2
much,2,1
impacts,2,1
find,2,2
anything,2,2
research,2,2
use,2,2
their,2,1
clubs,2,1
flight,2,1
american,2,1
hexagons,2,1
pentagons,2,1
analysis,2,1
mean,2,2
standard,2,2
would,2,2
nodes,2,1
more,2,2
ftn,2,1
have,2,2
any,2,2
branched,2,1
characteristics,2,1
studies,2,2
node,2,1
welcome,2,2
speeds,2,1
out,2,2
predictive,2,1
investigate,2,2
because,2,2
eye,2,2
caught,2,2
which,2,2
news,2,2
thfc,2,1
possible,2,2
three,2,1
outstrengths,1,1
follow,1,1
activities,1,1
dentition,1,1
correlations,1,1
figure,1,1
tail,1,1
powerlaw,1,1
distribution,1,1
while,1,1
decay,1,1
exponential,1,1
law,1,1
power,1,1
distributions,1,1
instrengths,1,1
institutions,1,1
companies,1,1
led,1,1
concussions,1,1
biomechanics,1,1
underlying,1,1
assisting,1,1
kinematics,1,1
head,1,1
measuring,1,1
way,1,1
viable,1,1
shown,1,1
been,1,1
conflicting,1,1
given,1,1
especially,1,1
critical,1,1
quantification,1,1
makes,1,1
concussive,1,1
tool,1,1
however,1,1
develop,1,1
rigid,1,1
relatively,1,1
win,1,1
likely,1,1
inturn,1,1
